# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 18 21:18:40 2023
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.500000000e+02 7.37530e-01 9.99999e-01 9.99999e-01 9.99403e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.37976e-01 9.99991e-01
3.501750000e+02 7.37976e-01 9.99999e-01 9.99999e-01 9.99403e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.38424e-01 9.99989e-01
3.503500875e+02 7.38413e-01 9.99999e-01 9.99999e-01 9.99391e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.38872e-01 9.99986e-01
3.505252625e+02 7.38865e-01 9.99999e-01 9.99999e-01 9.99402e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.39318e-01 9.99983e-01
3.507005252e+02 7.39308e-01 9.99999e-01 9.99999e-01 9.99401e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.39765e-01 9.99981e-01
3.508758754e+02 7.39745e-01 9.99999e-01 9.99999e-01 9.99392e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.40210e-01 9.99978e-01
3.510513134e+02 7.40127e-01 9.99999e-01 9.99999e-01 9.99311e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.40655e-01 9.99974e-01
3.512268390e+02 7.40196e-01 9.99999e-01 9.99999e-01 9.98809e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.41099e-01 9.99970e-01
3.514024525e+02 7.39808e-01 9.99999e-01 9.99999e-01 9.97691e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.41543e-01 9.99967e-01
3.515781537e+02 7.40174e-01 9.99999e-01 9.99999e-01 9.97591e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.41986e-01 9.99964e-01
3.517539428e+02 7.40868e-01 9.99999e-01 9.99999e-01 9.97937e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.42428e-01 9.99960e-01
3.519298197e+02 7.41604e-01 9.99999e-01 9.99999e-01 9.98338e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.42870e-01 9.99955e-01
3.521057846e+02 7.42296e-01 9.99999e-01 9.99999e-01 9.98681e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.43311e-01 9.99950e-01
3.522818375e+02 7.42916e-01 9.99999e-01 9.99999e-01 9.98929e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.43752e-01 9.99945e-01
3.524579784e+02 7.43448e-01 9.99999e-01 9.99999e-01 9.99058e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.44192e-01 9.99940e-01
3.526342074e+02 7.43929e-01 9.99999e-01 9.99999e-01 9.99120e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.44631e-01 9.99935e-01
