,Description,Datafile,Datafile Min Lambda,Datafile Max Lambda,Data Source,Min_interp_eff,Mean_interp_eff,Max_interp_eff
0,Telescope Primary,WMKO_telescope_efficiency_2019-12-17_shifted_Primary_300-1000nm.txt,300,1000,WMKO,0.837875671,0.8749740430711462,0.898895035
1,Segment Gaps,constant,0.0,0.0,Keck Blue Book,0.993,0.993,0.993
2,Coating Age,constant,0.0,0.0,WMKO,0.98,0.98,0.98
3,Telescope Secondary,WMKO_telescope_efficiency_2019-12-17_shifted_Secondary_300-1000nm.txt,300,1000,WMKO,0.850375671,0.8874740430711462,0.911395035
4,Coating Age,constant,0.0,0.0,WMKO,0.98,0.98,0.98
5,Telescope Tertiary,WMKO_telescope_efficiency_2019-12-17_shifted_Tertiary_300-1000nm.txt,300,1000,WMKO,0.830375671,0.8674740430711464,0.891395035
6,Coating Age,constant,0.0,0.0,WMKO,0.98,0.98,0.98
7,Pickoff/Tip-Tilt Mirror,Semrock_45deg.txt,350.0,1200.0,Semrock Website,0.998122670695305,0.998940230271115,0.999859177586034
8,FIU Collimating Lens AR Coating,FIU_Doublet_S1_T_Optimax_final_coating.txt,371.338,1292.254,Optimax,0.983499929022082,0.9864428910035665,0.9924200000000001
9,FIU Collimating Lens First Element,S-FSL5Y transmission.txt,239.99999463560002,2400.000095367,Zemax,0.998520374306851,0.9985203743068513,0.998520374306851
10,FIU Collimating Lens Cement,Norland_88_from_datasheet_1mm_thickness.txt,314.0,1200.0,Norland Datasheet,0.9998650935093465,0.9998666746828231,0.9998844924707728
11,FIU Collimating Lens Second Element,PBL1Y transmission.txt,239.99999463560002,2400.000095367,Zemax,0.9992899061493248,0.9992899061493248,0.9992899061493248
12,FIU Collimating Lens AR Coating,FIU_Doublet_S2_T_Optimax_final_coating.txt,374.031,1327.749,Optimax,0.9843606153846155,0.9867673748397731,0.9899899999999999
13,Dichroic Coating Transmission,FIU_HK_Dichroic_Tavg_AOI_38deg_final_coating.txt,300,1300,ASAHI quote,0.9758962200000001,0.9807964329865146,0.98862457
14,Beamsplitter Substrate,Corning HPFS 7980 Standard Internal Transmission.txt,180,5000,Corning,0.9994518760920209,0.999637701276918,0.99994519876146
15,Beamsplitter AR Coating,FIU_HK_Dichroic_AR_T_AOI_38deg_final_coating.txt,300,1300,ASAHI quote,0.9869222499999999,0.9902206530620786,0.99397973
16,Dichroic Coating Reflection,FIU_Science_Dichroic_R_AOI_38deg_final_coating.txt,300,1300,ASAHI quote,0.9924813100000001,0.9974763042676121,1.00199516
17,ADC 1 AR Coating,FIU_ADC_S1_T_final_coating.txt,407.679,959.862,Optimax,0.9867371303325136,0.9947752891316312,0.9994700000000001
18,ADC 1 E1,S-PHM53 transmission.txt,239.99999463560002,2400.000095367,Zemax,0.9933747370175295,0.9978346364234276,0.998983512238714
19,ADC 1 E1-E2 cement,Norland_88_from_datasheet_1mm_thickness.txt,314.0,1200.0,Norland Datasheet,0.9998650935093465,0.9998666746828231,0.9998844924707728
20,ADC 1 E2,N-KZFS4 transmission.txt,333.9999914169,2500.0,Zemax,0.9937652539925746,0.998204695775331,0.9989827885299593
21,ADC 1 AR Coating,FIU_ADC_S2_1_T_final_coating.txt,410.14,964.023,Optimax,0.9868772588248822,0.994689941352439,0.999098273790705
22,ADC 2 AR Coating,FIU_ADC_S1_T_final_coating.txt,407.679,959.862,Optimax,0.9867371303325136,0.9947752891316312,0.9994700000000001
23,ADC 2 E1,S-PHM53 transmission.txt,239.99999463560002,2400.000095367,Zemax,0.9933747370175295,0.9978346364234276,0.998983512238714
24,ADC 2 E1-E2 cement,Norland_88_from_datasheet_1mm_thickness.txt,314.0,1200.0,Norland Datasheet,0.9998650935093465,0.9998666746828231,0.9998844924707728
